Identifiant Client;Type de client;Age du client;Situation familiale;Ancienneté;Domiciliation du salaire;Domiciliation de l'épargne;Profession;Moyenne encours;Moyenne des mouvements;Cumul des débits;Autorisation de découvert;Interdiction de chéquier;Score 1;Score 2
0752;Bon client;moins de 23 ans;marié;anc. de 4  à 6 ans;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;725;670
0758;Mauvais client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;580;225
0764;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;545;495
0770;Bon client;moins de 23 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;815;625
0776;Bon client;de 40 à  50 ans;célibataire;anc. de 6  à 12 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;670;555
0782;Mauvais client;de 23 à 39 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;680;520
0788;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;645;490
0794;Bon client;de 23 à 39 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;670;680
0800;Bon client;de 23 à 39 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;685;690
0806;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;445;420
0813;Bon client;de 23 à 39 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;410;500
0819;Bon client;de 23 à 39 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;780;660
0825;Bon client;de 23 à 39 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;620;500
0831;Bon client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;695;440
0837;Bon client;de 40 à  50 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;605;775
0843;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;autre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;740;505
0849;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;plus de 100K épargne;autre;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;355;795
0855;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;moins de 10K épargne;cadre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;635;530
0861;Mauvais client;de 23 à 39 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;545;380
0867;Bon client;de 40 à  50 ans;divorcé;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;615;700
0873;Bon client;de 40 à  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;690;500
0879;Bon client;moins de 23 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;760;555
0885;Bon client;de 23 à 39 ans;marié;anc. de 6  à 12 ans;Oui domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;710;760
0891;Mauvais client;de 23 à 39 ans;célibataire;anc. de 1  à 4 ans;Oui domicilié;moins de 10K épargne;autre;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;525;380
0899;Bon client;plus de  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;680;665
0905;Bon client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;385;410
0910;Bon client;moins de 23 ans;célibataire;anc. de 6  à 12 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;535;495
0916;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;860;770
0923;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;525;500
0929;Bon client;plus de  50 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;675;815
0935;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;535;650
0941;Bon client;de 23 à 39 ans;marié;anc. de 6  à 12 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;760;760
0947;Mauvais client;de 23 à 39 ans;divorcé;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;695;660
0953;Mauvais client;moins de 23 ans;marié;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;635;465
0959;Mauvais client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;600;610
0965;Bon client;plus de  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;820;515
0971;Bon client;de 40 à  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;860;635
0977;Bon client;plus de  50 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;680;520
0983;Mauvais client;plus de  50 ans;divorcé;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;560;470
0990;Bon client;de 23 à 39 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;635;705
0996;Bon client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;350;465
1002;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;945;770
1008;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;740;945
1014;Bon client;moins de 23 ans;célibataire;anc. de 1  à 4 ans;Oui domicilié;moins de 10K épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;325;615
1020;Bon client;de 23 à 39 ans;célibataire;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;380;460
1027;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;410;420
1033;Bon client;plus de  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;680;660
1039;Bon client;de 23 à 39 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;325;495
1045;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;560;485
1051;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;465;500
1057;Mauvais client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;autre;moins de 2K encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;455;450
1063;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;220;445
1069;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;655;585
1076;Bon client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;460;505
1082;Bon client;plus de  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;740;910
1088;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Non domicilié;moins de 10K épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;485;590
1094;Mauvais client;de 40 à  50 ans;marié;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;605;570
1100;Bon client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;autre;plus de 5 K encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;250;565
1106;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;420;410
1112;Bon client;de 40 à  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;265;550
1118;Bon client;de 40 à  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;moins de 10K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;745;750
1124;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Non domicilié;de 10 à 100K épargne;autre;plus de 5 K encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;680;660
1130;Bon client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;710;475
1137;Mauvais client;moins de 23 ans;veuf;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;390;295
1144;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Non domicilié;moins de 10K épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;795;680
1150;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;560;395
1156;Bon client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;355;410
1162;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;540;735
1168;Bon client;plus de  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;455;650
1174;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;plus de 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;875;860
1180;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;460;120
1186;Mauvais client;plus de  50 ans;marié;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;515;285
1192;Bon client;moins de 23 ans;marié;anc. de 4  à 6 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;560;800
1198;Bon client;de 40 à  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;860;665
1204;Bon client;plus de  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;920;715
1211;Mauvais client;de 40 à  50 ans;marié;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;cadre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;745;240
1217;Mauvais client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;autre;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;445;255
1223;Bon client;de 40 à  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;575;565
1229;Bon client;de 23 à 39 ans;marié;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;345;540
1235;Bon client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;475;550
1241;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;650;560
1247;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;715;675
1253;Mauvais client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Non domicilié;de 10 à 100K épargne;autre;plus de 5 K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;405;700
1259;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;685;495
1265;Bon client;de 23 à 39 ans;célibataire;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;autre;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;270;175
1271;Mauvais client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;600;460
1277;Bon client;de 40 à  50 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;515;405
1283;Bon client;de 23 à 39 ans;célibataire;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;450;475
1289;Bon client;plus de  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;815;505
1295;Mauvais client;de 40 à  50 ans;divorcé;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;450;355
1301;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;de 10 à 100K épargne;autre;plus de 5 K encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;420;800
1308;Bon client;plus de  50 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;745;490
1314;Bon client;plus de  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;345;670
1322;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;545;670
1328;Bon client;plus de  50 ans;divorcé;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;740;700
1334;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;735;670
1340;Bon client;moins de 23 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;625;660
1346;Bon client;plus de  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;630;550
1353;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;745;740
1359;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;815;665
1365;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;485;620
1372;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;655;675
1379;Bon client;plus de  50 ans;veuf;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;770;665
1385;Bon client;de 40 à  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;860;640
1391;Bon client;de 40 à  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;515;590
1397;Bon client;plus de  50 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;495;470
1403;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;575;655
1409;Mauvais client;de 40 à  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;575;440
1415;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;650;650
1421;Mauvais client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;employé;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;295;155
1427;Mauvais client;plus de  50 ans;marié;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;500;600
1434;Bon client;de 23 à 39 ans;marié;anc. de 1  à 4 ans;Oui domicilié;moins de 10K épargne;autre;plus de 5 K encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;355;610
1440;Bon client;moins de 23 ans;veuf;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;455;615
1446;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;635;670
1452;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;570;735
1458;Bon client;plus de  50 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;920;615
1464;Bon client;de 23 à 39 ans;divorcé;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;autre;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;310;295
1470;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Non domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;745;790
1476;Bon client;plus de  50 ans;marié;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;cadre;moins de 2K encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;655;325
1482;Bon client;plus de  50 ans;marié;anc. 1 an  ou moins;Non domicilié;moins de 10K épargne;autre;plus de 5 K encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;515;555
1488;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;695;665
1494;Mauvais client;de 40 à  50 ans;divorcé;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   interdit;505;385
1500;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;410;625
1506;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;295;350
